-2.29,-2.29,1.22
-2.29,-2.29,1.18
-2.29,-2.29,1.14
-2.29,-2.29,1.10
-2.29,-2.29,1.07
-2.29,-2.29,1.03
-2.29,-2.29,0.99
-2.29,-2.29,0.95
-2.29,-2.29,0.91
-2.29,-2.29,0.88
-2.29,-2.29,0.84
-2.29,-2.29,0.80
-2.29,-2.29,0.76
-2.29,-2.29,0.72
-2.29,-2.29,0.69
-2.29,-2.29,0.65
-2.29,-2.29,0.61
-2.29,-2.29,0.57
-2.29,-2.29,0.53
-2.29,-2.29,0.50
-2.29,-2.29,0.46
-2.29,-2.29,0.42
-2.29,-2.29,0.38
-2.29,-2.29,0.34
-2.29,-2.29,0.30
-2.29,-2.29,0.27
-2.29,-2.29,0.23
-2.29,-2.29,0.19
-2.29,-2.29,0.15
-2.29,-2.29,0.11
-2.29,-2.29,0.08
-2.29,-2.29,0.04
-2.29,-2.29,0.00
-2.29,-2.29,-0.04
-2.29,-2.29,-0.08
-2.29,-2.29,-0.11
-2.29,-2.29,-0.15
-2.29,-2.29,-0.19
-2.29,-2.29,-0.23
-2.29,-2.29,-0.27
-2.29,-2.29,-0.30
-2.29,-2.29,-0.34
-2.29,-2.29,-0.38
-2.29,-2.29,-0.42
-2.29,-2.29,-0.46
-2.29,-2.29,-0.50
-2.29,-2.29,-0.53
-2.29,-2.29,-0.57
-2.29,-2.29,-0.61
-2.29,-2.29,-0.65
-2.29,-2.29,-0.69
-2.29,-2.29,-0.72
-2.29,-2.29,-0.76
-2.29,-2.29,-0.80
-2.29,-2.29,-0.84
-2.29,-2.29,-0.88
-2.29,-2.29,-0.91
-2.29,-2.29,-0.95
-2.29,-2.29,-0.99
-2.29,-2.29,-1.03
-2.29,-2.29,-1.07
-2.29,-2.29,-1.10
-2.29,-2.29,-1.14
-2.29,-2.29,-1.18
-2.29,-2.29,-1.22
-2.29,-2.29,-1.26
-2.29,-2.29,-1.30
-2.29,-2.29,-1.33
-2.29,-2.29,-1.37
-2.29,-2.29,-1.41
-2.29,-2.29,-1.45
-2.29,-2.29,-1.49
-2.29,-1.83,1.22
-2.29,-1.83,1.18
-2.29,-1.83,1.14
-2.29,-1.83,1.10
-2.29,-1.83,1.07
-2.29,-1.83,1.03
-2.29,-1.83,0.99
-2.29,-1.83,0.95
-2.29,-1.83,0.91
-2.29,-1.83,0.88
-2.29,-1.83,0.84
-2.29,-1.83,0.80
-2.29,-1.83,0.76
-2.29,-1.83,0.72
-2.29,-1.83,0.69
-2.29,-1.83,0.65
-2.29,-1.83,0.61
-2.29,-1.83,0.57
-2.29,-1.83,0.53
-2.29,-1.83,0.50
-2.29,-1.83,0.46
-2.29,-1.83,0.42
-2.29,-1.83,0.38
-2.29,-1.83,0.34
-2.29,-1.83,0.30
-2.29,-1.83,0.27
-2.29,-1.83,0.23
-2.29,-1.83,0.19
-2.29,-1.83,0.15
-2.29,-1.83,0.11
-2.29,-1.83,0.08
-2.29,-1.83,0.04
-2.29,-1.83,0.00
-2.29,-1.83,-0.04
-2.29,-1.83,-0.08
-2.29,-1.83,-0.11
-2.29,-1.83,-0.15
-2.29,-1.83,-0.19
-2.29,-1.83,-0.23
-2.29,-1.83,-0.27
-2.29,-1.83,-0.30
-2.29,-1.83,-0.34
-2.29,-1.83,-0.38
-2.29,-1.83,-0.42
-2.29,-1.83,-0.46
-2.29,-1.83,-0.50
-2.29,-1.83,-0.53
-2.29,-1.83,-0.57
-2.29,-1.83,-0.61
-2.29,-1.83,-0.65
-2.29,-1.83,-0.69
-2.29,-1.83,-0.72
-2.29,-1.83,-0.76
-2.29,-1.83,-0.80
-2.29,-1.83,-0.84
-2.29,-1.83,-0.88
-2.29,-1.83,-0.91
-2.29,-1.83,-0.95
-2.29,-1.83,-0.99
-2.29,-1.83,-1.03
-2.29,-1.83,-1.07
-2.29,-1.83,-1.10
-2.29,-1.83,-1.14
-2.29,-1.83,-1.18
-2.29,-1.83,-1.22
-2.29,-1.83,-1.26
-2.29,-1.83,-1.30
-2.29,-1.83,-1.33
-2.29,-1.83,-1.37
-2.29,-1.83,-1.41
-2.29,-1.83,-1.45
-2.29,-1.83,-1.49
-2.29,-1.37,1.22
-2.29,-1.37,1.18
-2.29,-1.37,1.14
-2.29,-1.37,1.10
-2.29,-1.37,1.07
-2.29,-1.37,1.03
-2.29,-1.37,0.99
-2.29,-1.37,0.95
-2.29,-1.37,0.91
-2.29,-1.37,0.88
-2.29,-1.37,0.84
-2.29,-1.37,0.80
-2.29,-1.37,0.76
-2.29,-1.37,0.72
-2.29,-1.37,0.69
-2.29,-1.37,0.65
-2.29,-1.37,0.61
-2.29,-1.37,0.57
-2.29,-1.37,0.53
-2.29,-1.37,0.50
-2.29,-1.37,0.46
-2.29,-1.37,0.42
-2.29,-1.37,0.38
-2.29,-1.37,0.34
-2.29,-1.37,0.30
-2.29,-1.37,0.27
-2.29,-1.37,0.23
-2.29,-1.37,0.19
-2.29,-1.37,0.15
-2.29,-1.37,0.11
-2.29,-1.37,0.08
-2.29,-1.37,0.04
-2.29,-1.37,0.00
-2.29,-1.37,-0.04
-2.29,-1.37,-0.08
-2.29,-1.37,-0.11
