-2.06,-2.06
-2.06,-1.60
-2.06,-1.14
-2.06,-0.69
-2.06,-0.23
-2.06,0.23
-2.06,0.69
-2.06,1.14
-2.06,1.60
-2.06,2.06
-1.60,-2.06
-1.60,-1.60
-1.60,-1.14
-1.60,-0.69
-1.60,-0.23
-1.60,0.23
-1.60,0.69
-1.60,1.14
-1.60,1.60
-1.60,2.06
-1.14,-2.06
-1.14,-1.60
-1.14,-1.14
-1.14,-0.69
-1.14,-0.23
-1.14,0.23
-1.14,0.69
-1.14,1.14
-1.14,1.60
-1.14,2.06
-0.69,-2.06
-0.69,-1.60
-0.69,-1.14
-0.69,-0.69
-0.69,-0.23
-0.69,0.23
-0.69,0.69
-0.69,1.14
-0.69,1.60
-0.69,2.06
-0.23,-2.06
-0.23,-1.60
-0.23,-1.14
-0.23,-0.69
-0.23,-0.23
-0.23,0.23
-0.23,0.69
-0.23,1.14
-0.23,1.60
-0.23,2.06
0.23,-2.06
0.23,-1.60
0.23,-1.14
0.23,-0.69
0.23,-0.23
0.23,0.23
0.23,0.69
0.23,1.14
0.23,1.60
0.23,2.06
0.69,-2.06
0.69,-1.60
0.69,-1.14
0.69,-0.69
0.69,-0.23
0.69,0.23
0.69,0.69
0.69,1.14
0.69,1.60
0.69,2.06
1.14,-2.06
1.14,-1.60
1.14,-1.14
1.14,-0.69
1.14,-0.23
1.14,0.23
1.14,0.69
1.14,1.14
1.14,1.60
1.14,2.06
1.60,-2.06
1.60,-1.60
1.60,-1.14
1.60,-0.69
1.60,-0.23
1.60,0.23
1.60,0.69
1.60,1.14
1.60,1.60
1.60,2.06
2.06,-2.06
2.06,-1.60
2.06,-1.14
2.06,-0.69
2.06,-0.23
2.06,0.23
2.06,0.69
2.06,1.14
2.06,1.60
2.06,2.06
